ESN,GP_MA,HC_MA,T2,EGT_RAW,VIBS,GS_VIBS,RUL,date
A1,18.96452696571653,5.546083925981585,641.82,392,-5.510178464052304,1.2489237317580226,191,2022-01-01
A1,6.539378970203977,2.433799800081257,642.15,392,-5.021746744301778,-0.0640452178371127,190,2022-01-02
A1,7.556978908232657,5.300894511302039,642.35,390,-7.020227080402021,-0.975986979636418,189,2022-01-03
A1,7.813116385681393,7.271471907989622,642.35,392,-4.568730193047849,0.8241206664290582,188,2022-01-04
A1,14.005444938427136,7.362966051312489,642.37,393,-5.647531610237776,-2.192124036020349,187,2022-01-05
A1,11.199485445071788,4.696926724935753,642.1,391,-4.380934029392246,0.0789461657628734,186,2022-01-06
A1,8.434326111081159,3.630142458604292,642.48,392,-4.399900649997343,-0.09265030858048,185,2022-01-07
A1,7.6618360057165855,4.4253167220033065,642.56,391,-2.6783100594652547,0.0250018547046226,184,2022-01-08
A1,7.582655113242403,5.021867927711389,642.12,392,-5.016886303992508,1.9332674882235004,183,2022-01-09
A1,7.563766594962836,5.531239828452513,641.71,393,-3.5643349878939605,0.6360606900913977,182,2022-01-10
A1,13.76007940712898,5.639627124851866,642.28,392,-6.725922656036443,-0.984522142158486,181,2022-01-11
A1,5.5569335511918405,5.077708104418559,642.06,391,-2.9915284446694423,0.2574775301546245,180,2022-01-12
A1,7.44980084242907,4.210497726476279,643.07,393,-3.338794054504917,-0.0932266262305741,179,2022-01-13
A1,12.01193889645572,6.086884543144466,642.35,393,-6.473479032597106,0.9693742351472858,178,2022-01-14
A1,14.254072577012105,6.031238152502308,642.43,391,-8.787360982915303,0.1738616793585922,177,2022-01-15
A1,10.459355238769463,4.580609885963817,642.13,392,-4.878251896650879,-0.7246174447227804,176,2022-01-16
A1,9.567486060140162,4.993767845745889,642.58,392,-6.575853877065603,-0.1878488912647379,175,2022-01-17
A1,11.58488989833251,5.868315405172412,642.62,392,-6.768075717680451,-0.6832091306736188,174,2022-01-18
A1,13.77528986073694,6.704167727104707,641.79,391,-1.1150032737762308,0.5418797387376438,173,2022-01-19
A1,7.266768980861147,4.4198472304506815,643.04,392,-4.660574781603929,-0.54212689785429,172,2022-01-20
A1,13.940911331795016,6.5857869626393,642.37,392,-7.847335530221957,0.7681796144115188,171,2022-01-21
A1,10.268665567943806,6.330412836612385,642.77,392,-3.8041998742290017,0.1646851657725188,170,2022-01-22
A1,11.752503532349689,5.59001739479129,642.14,392,-8.12177600422337,-0.4486282844551316,169,2022-01-23
A1,10.493484128329827,3.5883975447602188,642.38,392,-5.5691662602881005,-0.6014132549566539,168,2022-01-24
A1,6.20021185693887,4.770257275394523,642.77,393,-2.8082949287488947,-1.6215805286736902,167,2022-01-25
A1,10.023487142696904,5.314242671049344,642.16,394,-6.583111595282597,-0.2970085854007247,166,2022-01-26
A1,13.541011039311476,5.145458152387915,642.44,393,-1.4951120291858218,1.9012482563358537,165,2022-01-27
A1,5.7288502318776855,4.725489470430643,642.35,390,-5.066324301015536,0.4791848030440646,164,2022-01-28
A1,18.769614790333566,5.876435240874537,641.91,393,-8.691504271371906,0.8032312634393204,163,2022-01-29
A1,9.877619756718843,4.524925243464897,642.2,390,-2.268320377588485,0.1508778003329145,162,2022-01-30
A1,8.979117932554738,4.9191629048881405,642.02,392,-5.159206139861172,-0.0870262173891039,161,2022-01-31
A1,11.598503218176416,4.941278156055684,642.33,392,-4.384215791895983,2.1534718146012546,160,2022-02-01
A1,13.77911271860988,4.136609610849166,642.71,392,-5.765993073973468,-1.0945504260031915,159,2022-02-02
A1,11.323627712615531,4.267460206781165,642.54,392,-7.4294797459946516,-0.1455934045632355,158,2022-02-03
A1,9.546963577619785,3.560393343321309,642.44,391,-2.717620753986636,0.162820248585027,157,2022-02-04
A1,6.798650145586205,4.236888216064298,642.54,392,-3.375394842089169,-0.2652856153467052,156,2022-02-05
